id,value
9556,95550
9555,95540
9554,95530
9553,95520
9552,95510
9551,95500
9550,95490
9549,95480
9548,95470
9547,95460
9546,95450
9545,95440
9544,95430
9543,95420
9542,95410
9541,95400
9540,95390
9539,95380
9538,95370
9537,95360
9536,95350
9535,95340
9534,95330
9533,95320
9532,95310
9531,95300
9530,95290
9529,95280
9528,95270
9527,95260
9526,95250
9525,95240
9524,95230
9523,95220
9522,95210
9521,95200
9520,95190
9519,95180
9518,95170
9517,95160
9516,95150
9515,95140
9514,95130
9513,95120
9512,95110
9511,95100
9510,95090
9509,95080
9508,95070
9507,95060
9506,95050
9505,95040
9504,95030
9503,95020
9502,95010
9501,95000
9500,94990
9499,94980
9498,94970
9497,94960
9496,94950
9495,94940
9494,94930
9493,94920
9492,94910
9491,94900
9490,94890
9489,94880
9488,94870
9487,94860
9486,94850
9485,94840
9484,94830
9483,94820
9482,94810
9481,94800
9480,94790
9479,94780
9478,94770
9477,94760
9476,94750
9475,94740
9474,94730
9473,94720
9472,94710
9471,94700
9470,94690
9469,94680
9468,94670
9467,94660
9466,94650
9465,94640
9464,94630
9463,94620
9462,94610
9461,94600
9460,94590
9459,94580
9458,94570
9457,94560
9456,94550
9455,94540
9454,94530
9453,94520
9452,94510
9451,94500
9450,94490
9449,94480
9448,94470
9447,94460
9446,94450
9445,94440
9444,94430
9443,94420
9442,94410
9441,94400
9440,94390
9439,94380
9438,94370
9437,94360
9436,94350
9435,94340
9434,94330
9433,94320
9432,94310
9431,94300
9430,94290
9429,94280
9428,94270
9427,94260
9426,94250
9425,94240
9424,94230
9423,94220
9422,94210
9421,94200
9420,94190
9419,94180
9418,94170
9417,94160
9416,94150
9415,94140
9414,94130
9413,94120
9412,94110
9411,94100
9410,94090
9409,94080
9408,94070
9407,94060
9406,94050
9405,94040
9404,94030
9403,94020
9402,94010
9401,94000
9400,93990
9399,93980
9398,93970
9397,93960
9396,93950
9395,93940
9394,93930
9393,93920
9392,93910
9391,93900
9390,93890
9389,93880
9388,93870
9387,93860
9386,93850
9385,93840
9384,93830
9383,93820
9382,93810
9381,93800
9380,93790
9379,93780
9378,93770
9377,93760
9376,93750
9375,93740
9374,93730
9373,93720
9372,93710
9371,93700
9370,93690
9369,93680
9368,93670
9367,93660
9366,93650
9365,93640
9364,93630
9363,93620
9362,93610
9361,93600
9360,93590
9359,93580
9358,93570
9357,93560
9356,93550
9355,93540
9354,93530
9353,93520
9352,93510
9351,93500
9350,93490
9349,93480
9348,93470
9347,93460
9346,93450
9345,93440
9344,93430
9343,93420
9342,93410
9341,93400
9340,93390
9339,93380
9338,93370
9337,93360
9336,93350
9335,93340
9334,93330
9333,93320
9332,93310
9331,93300
9330,93290
9329,93280
9328,93270
9327,93260
9326,93250
9325,93240
9324,93230
9323,93220
9322,93210
9321,93200
9320,93190
9319,93180
9318,93170
9317,93160
9316,93150
9315,93140
9314,93130
9313,93120
9312,93110
9311,93100
9310,93090
9309,93080
9308,93070
9307,93060
9306,93050
9305,93040
9304,93030
9303,93020
9302,93010
9301,93000
9300,92990
9299,92980
9298,92970
9297,92960
9296,92950
9295,92940
9294,92930
9293,92920
9292,92910
9291,92900
9290,92890
9289,92880
9288,92870
9287,92860
9286,92850
9285,92840
9284,92830
9283,92820
9282,92810
9281,92800
9280,92790
9279,92780
9278,92770
9277,92760
9276,92750
9275,92740
9274,92730
9273,92720
9272,92710
9271,92700
9270,92690
9269,92680
9268,92670
9267,92660
9266,92650
9265,92640
9264,92630
9263,92620
9262,92610
9261,92600
9260,92590
9259,92580
9258,92570
9257,92560
9256,92550
9255,92540
9254,92530
9253,92520
9252,92510
9251,92500
9250,92490
9249,92480
9248,92470
9247,92460
9246,92450
9245,92440
9244,92430
9243,92420
9242,92410
9241,92400
9240,92390
9239,92380
9238,92370
9237,92360
9236,92350
9235,92340
9234,92330
9233,92320
9232,92310
9231,92300
9230,92290
9229,92280
9228,92270
9227,92260
9226,92250
9225,92240
9224,92230
9223,92220
9222,92210
9221,92200
9220,92190
9219,92180
9218,92170
9217,92160
9216,92150
9215,92140
9214,92130
9213,92120
9212,92110
9211,92100
9210,92090
9209,92080
9208,92070
9207,92060
9206,92050
9205,92040
9204,92030
9203,92020
9202,92010
9201,92000
9200,91990
9199,91980
9198,91970
9197,91960
9196,91950
9195,91940
9194,91930
9193,91920
9192,91910
9191,91900
9190,91890
9189,91880
9188,91870
9187,91860
9186,91850
9185,91840
9184,91830
9183,91820
9182,91810
9181,91800
9180,91790
9179,91780
9178,91770
9177,91760
9176,91750
9175,91740
9174,91730
9173,91720
9172,91710
9171,91700
9170,91690
9169,91680
9168,91670
9167,91660
9166,91650
9165,91640
9164,91630
9163,91620
9162,91610
9161,91600
9160,91590
9159,91580
9158,91570
9157,91560
9156,91550
9155,91540
9154,91530
9153,91520
9152,91510
9151,91500
9150,91490
9149,91480
9148,91470
9147,91460
9146,91450
9145,91440
9144,91430
9143,91420
9142,91410
9141,91400
9140,91390
9139,91380
9138,91370
9137,91360
9136,91350
9135,91340
9134,91330
9133,91320
9132,91310
9131,91300
9130,91290
9129,91280
9128,91270
9127,91260
9126,91250
9125,91240
9124,91230
9123,91220
9122,91210
9121,91200
9120,91190
9119,91180
9118,91170
9117,91160
9116,91150
9115,91140
9114,91130
9113,91120
9112,91110
9111,91100
9110,91090
9109,91080
9108,91070
9107,91060
9106,91050
9105,91040
9104,91030
9103,91020
9102,91010
9101,91000
9100,90990
9099,90980
9098,90970
9097,90960
9096,90950
9095,90940
9094,90930
9093,90920
9092,90910
9091,90900
9090,90890
9089,90880
9088,90870
9087,90860
9086,90850
9085,90840
9084,90830
9083,90820
9082,90810
9081,90800
9080,90790
9079,90780
9078,90770
9077,90760
9076,90750
9075,90740
9074,90730
9073,90720
9072,90710
9071,90700
9070,90690
9069,90680
9068,90670
9067,90660
9066,90650
9065,90640
9064,90630
9063,90620
9062,90610
9061,90600
9060,90590
9059,90580
9058,90570
9057,90560
9056,90550
9055,90540
9054,90530
9053,90520
9052,90510
9051,90500
9050,90490
9049,90480
9048,90470
9047,90460
9046,90450
9045,90440
9044,90430
9043,90420
9042,90410
9041,90400
9040,90390
9039,90380
9038,90370
9037,90360
9036,90350
9035,90340
9034,90330
9033,90320
9032,90310
9031,90300
9030,90290
9029,90280
9028,90270
9027,90260
9026,90250
9025,90240
9024,90230
9023,90220
9022,90210
9021,90200
9020,90190
9019,90180
9018,90170
9017,90160
9016,90150
9015,90140
9014,90130
9013,90120
9012,90110
9011,90100
9010,90090
9009,90080
9008,90070
9007,90060
9006,90050
9005,90040
9004,90030
9003,90020
9002,90010
9001,90000
9000,89990
8999,89980
8998,89970
8997,89960
8996,89950
8995,89940
8994,89930
8993,89920
8992,89910
8991,89900
8990,89890
8989,89880
8988,89870
8987,89860
8986,89850
8985,89840
8984,89830
8983,89820
8982,89810
8981,89800
8980,89790
8979,89780
8978,89770
8977,89760
8976,89750
8975,89740
8974,89730
8973,89720
8972,89710
8971,89700
8970,89690
8969,89680
8968,89670
8967,89660
8966,89650
8965,89640
8964,89630
8963,89620
8962,89610
8961,89600
8960,89590
8959,89580
8958,89570
8957,89560
8956,89550
8955,89540
8954,89530
8953,89520
8952,89510
8951,89500
8950,89490
8949,89480
8948,89470
8947,89460
8946,89450
8945,89440
8944,89430
8943,89420
8942,89410
8941,89400
8940,89390
8939,89380
8938,89370
8937,89360
8936,89350
8935,89340
8934,89330
8933,89320
8932,89310
8931,89300
8930,89290
8929,89280
8928,89270
8927,89260
8926,89250
8925,89240
8924,89230
8923,89220
8922,89210
8921,89200
8920,89190
8919,89180
8918,89170
8917,89160
8916,89150
8915,89140
8914,89130
8913,89120
8912,89110
8911,89100
8910,89090
8909,89080
8908,89070
8907,89060
8906,89050
8905,89040
8904,89030
8903,89020
8902,89010
8901,89000
8900,88990
8899,88980
8898,88970
8897,88960
8896,88950
8895,88940
8894,88930
8893,88920
8892,88910
8891,88900
8890,88890
8889,88880
8888,88870
8887,88860
8886,88850
8885,88840
8884,88830
8883,88820
8882,88810
8881,88800
8880,88790
8879,88780
8878,88770
8877,88760
8876,88750
8875,88740
8874,88730
8873,88720
8872,88710
8871,88700
8870,88690
8869,88680
8868,88670
8867,88660
8866,88650
8865,88640
8864,88630
8863,88620
8862,88610
8861,88600
8860,88590
8859,88580
8858,88570
8857,88560
8856,88550
8855,88540
8854,88530
8853,88520
8852,88510
8851,88500
8850,88490
8849,88480
8848,88470
8847,88460
8846,88450
8845,88440
8844,88430
8843,88420
8842,88410
8841,88400
8840,88390
8839,88380
8838,88370
8837,88360
8836,88350
8835,88340
8834,88330
8833,88320
8832,88310
8831,88300
8830,88290
8829,88280
8828,88270
8827,88260
8826,88250
8825,88240
8824,88230
8823,88220
8822,88210
8821,88200
8820,88190
8819,88180
8818,88170
8817,88160
8816,88150
8815,88140
8814,88130
8813,88120
8812,88110
8811,88100
8810,88090
8809,88080
8808,88070
8807,88060
8806,88050
8805,88040
8804,88030
8803,88020
8802,88010
8801,88000
8800,87990
8799,87980
8798,87970
8797,87960
8796,87950
8795,87940
8794,87930
8793,87920
8792,87910
8791,87900
8790,87890
8789,87880
8788,87870
8787,87860
8786,87850
8785,87840
8784,87830
8783,87820
8782,87810
8781,87800
8780,87790
8779,87780
8778,87770
8777,87760
8776,87750
8775,87740
8774,87730
8773,87720
8772,87710
8771,87700
8770,87690
8769,87680
8768,87670
8767,87660
8766,87650
8765,87640
8764,87630
8763,87620
8762,87610
8761,87600
8760,87590
8759,87580
8758,87570
8757,87560
8756,87550
8755,87540
8754,87530
8753,87520
8752,87510
8751,87500
8750,87490
8749,87480
8748,87470
8747,87460
8746,87450
8745,87440
8744,87430
8743,87420
8742,87410
8741,87400
8740,87390
8739,87380
8738,87370
8737,87360
8736,87350
8735,87340
8734,87330
8733,87320
8732,87310
8731,87300
8730,87290
8729,87280
8728,87270
8727,87260
8726,87250
8725,87240
8724,87230
8723,87220
8722,87210
8721,87200
8720,87190
8719,87180
8718,87170
8717,87160
8716,87150
8715,87140
8714,87130
8713,87120
8712,87110
8711,87100
8710,87090
8709,87080
8708,87070
8707,87060
8706,87050
8705,87040
8704,87030
8703,87020
8702,87010
8701,87000
8700,86990
8699,86980
8698,86970
8697,86960
8696,86950
8695,86940
8694,86930
8693,86920
8692,86910
8691,86900
8690,86890
8689,86880
8688,86870
8687,86860
8686,86850
8685,86840
8684,86830
8683,86820
8682,86810
8681,86800
8680,86790
8679,86780
8678,86770
8677,86760
8676,86750
8675,86740
8674,86730
8673,86720
8672,86710
8671,86700
8670,86690
8669,86680
8668,86670
8667,86660
8666,86650
8665,86640
8664,86630
8663,86620
8662,86610
8661,86600
8660,86590
8659,86580
8658,86570
8657,86560
8656,86550
8655,86540
8654,86530
8653,86520
8652,86510
8651,86500
8650,86490
8649,86480
8648,86470
8647,86460
8646,86450
8645,86440
8644,86430
8643,86420
8642,86410
8641,86400
8640,86390
8639,86380
8638,86370
8637,86360
8636,86350
8635,86340
8634,86330
8633,86320
8632,86310
8631,86300
8630,86290
8629,86280
8628,86270
8627,86260
8626,86250
8625,86240
8624,86230
8623,86220
8622,86210
8621,86200
8620,86190
8619,86180
8618,86170
8617,86160
8616,86150
8615,86140
8614,86130
8613,86120
8612,86110
8611,86100
8610,86090
8609,86080
8608,86070
8607,86060
8606,86050
8605,86040
8604,86030
8603,86020
8602,86010
8601,86000
8600,85990
8599,85980
8598,85970
8597,85960
8596,85950
8595,85940
8594,85930
8593,85920
8592,85910
8591,85900
8590,85890
8589,85880
8588,85870
8587,85860
8586,85850
8585,85840
8584,85830
8583,85820
8582,85810
8581,85800
8580,85790
8579,85780
8578,85770
8577,85760
8576,85750
8575,85740
8574,85730
8573,85720
8572,85710
8571,85700
8570,85690
8569,85680
8568,85670
8567,85660
8566,85650
8565,85640
8564,85630
8563,85620
8562,85610
8561,85600
8560,85590
8559,85580
8558,85570
8557,85560
8556,85550
8555,85540
8554,85530
8553,85520
8552,85510
8551,85500
8550,85490
8549,85480
8548,85470
8547,85460
8546,85450
8545,85440
8544,85430
8543,85420
8542,85410
8541,85400
8540,85390
8539,85380
8538,85370
8537,85360
8536,85350
8535,85340
8534,85330
8533,85320
8532,85310
8531,85300
8530,85290
8529,85280
8528,85270
8527,85260
8526,85250
8525,85240
8524,85230
8523,85220
8522,85210
8521,85200
8520,85190
8519,85180
8518,85170
8517,85160
8516,85150
8515,85140
8514,85130
8513,85120
8512,85110
8511,85100
8510,85090
8509,85080
8508,85070
8507,85060
8506,85050
8505,85040
8504,85030
8503,85020
8502,85010
8501,85000
8500,84990
8499,84980
8498,84970
8497,84960
8496,84950
8495,84940
8494,84930
8493,84920
8492,84910
8491,84900
8490,84890
8489,84880
8488,84870
8487,84860
8486,84850
8485,84840
8484,84830
8483,84820
8482,84810
8481,84800
8480,84790
8479,84780
8478,84770
8477,84760
8476,84750
8475,84740
8474,84730
8473,84720
8472,84710
8471,84700
8470,84690
8469,84680
8468,84670
8467,84660
8466,84650
8465,84640
8464,84630
8463,84620
8462,84610
8461,84600
8460,84590
8459,84580
8458,84570
8457,84560
8456,84550
8455,84540
8454,84530
8453,84520
8452,84510
8451,84500
8450,84490
8449,84480
8448,84470
8447,84460
8446,84450
8445,84440
8444,84430
8443,84420
8442,84410
8441,84400
8440,84390
8439,84380
8438,84370
8437,84360
8436,84350
8435,84340
8434,84330
8433,84320
8432,84310
8431,84300
8430,84290
8429,84280
8428,84270
8427,84260
8426,84250
8425,84240
8424,84230
8423,84220
8422,84210
8421,84200
8420,84190
8419,84180
8418,84170
8417,84160
8416,84150
8415,84140
8414,84130
8413,84120
8412,84110
8411,84100
8410,84090
8409,84080
8408,84070
8407,84060
8406,84050
8405,84040
8404,84030
8403,84020
8402,84010
8401,84000
8400,83990
8399,83980
8398,83970
8397,83960
8396,83950
8395,83940
8394,83930
8393,83920
8392,83910
8391,83900
8390,83890
8389,83880
8388,83870
8387,83860
8386,83850
8385,83840
8384,83830
8383,83820
8382,83810
8381,83800
8380,83790
8379,83780
8378,83770
8377,83760
8376,83750
8375,83740
8374,83730
8373,83720
8372,83710
8371,83700
8370,83690
8369,83680
8368,83670
8367,83660
8366,83650
8365,83640
8364,83630
8363,83620
8362,83610
8361,83600
8360,83590
8359,83580
8358,83570
8357,83560
8356,83550
8355,83540
8354,83530
8353,83520
8352,83510
8351,83500
8350,83490
8349,83480
8348,83470
8347,83460
8346,83450
8345,83440
8344,83430
8343,83420
8342,83410
8341,83400
8340,83390
8339,83380
8338,83370
8337,83360
8336,83350
8335,83340
8334,83330
8333,83320
8332,83310
8331,83300
8330,83290
8329,83280
8328,83270
8327,83260
8326,83250
8325,83240
8324,83230
8323,83220
8322,83210
8321,83200
8320,83190
8319,83180
8318,83170
8317,83160
8316,83150
8315,83140
8314,83130
8313,83120
8312,83110
8311,83100
8310,83090
8309,83080
8308,83070
8307,83060
8306,83050
8305,83040
8304,83030
8303,83020
8302,83010
8301,83000
8300,82990
8299,82980
8298,82970
8297,82960
8296,82950
8295,82940
8294,82930
8293,82920
8292,82910
8291,82900
8290,82890
8289,82880
8288,82870
8287,82860
8286,82850
8285,82840
8284,82830
8283,82820
8282,82810
8281,82800
8280,82790
8279,82780
8278,82770
8277,82760
8276,82750
8275,82740
8274,82730
8273,82720
8272,82710
8271,82700
8270,82690
8269,82680
8268,82670
8267,82660
8266,82650
8265,82640
8264,82630
8263,82620
8262,82610
8261,82600
8260,82590
8259,82580
8258,82570
8257,82560
8256,82550
8255,82540
8254,82530
8253,82520
8252,82510
8251,82500
8250,82490
8249,82480
8248,82470
8247,82460
8246,82450
8245,82440
8244,82430
8243,82420
8242,82410
8241,82400
8240,82390
8239,82380
8238,82370
8237,82360
8236,82350
8235,82340
8234,82330
8233,82320
8232,82310
8231,82300
8230,82290
8229,82280
8228,82270
8227,82260
8226,82250
8225,82240
8224,82230
8223,82220
8222,82210
8221,82200
8220,82190
8219,82180
8218,82170
8217,82160
8216,82150
8215,82140
8214,82130
8213,82120
8212,82110
8211,82100
8210,82090
8209,82080
8208,82070
8207,82060
8206,82050
8205,82040
8204,82030
8203,82020
8202,82010
8201,82000
8200,81990
8199,81980
8198,81970
8197,81960
8196,81950
8195,81940
8194,81930
8193,81920
8192,81910
8191,81900
8190,81890
8189,81880
8188,81870
8187,81860
8186,81850
8185,81840
8184,81830
8183,81820
8182,81810
8181,81800
8180,81790
8179,81780
8178,81770
8177,81760
8176,81750
8175,81740
8174,81730
8173,81720
8172,81710
8171,81700
8170,81690
8169,81680
8168,81670
8167,81660
8166,81650
8165,81640
8164,81630
8163,81620
8162,81610
8161,81600
8160,81590
8159,81580
8158,81570
8157,81560
8156,81550
8155,81540
8154,81530
8153,81520
8152,81510
8151,81500
8150,81490
8149,81480
8148,81470
8147,81460
8146,81450
8145,81440
8144,81430
8143,81420
8142,81410
8141,81400
8140,81390
8139,81380
8138,81370
8137,81360
8136,81350
8135,81340
8134,81330
8133,81320
8132,81310
8131,81300
8130,81290
8129,81280
8128,81270
8127,81260
8126,81250
8125,81240
8124,81230
8123,81220
8122,81210
8121,81200
8120,81190
8119,81180
8118,81170
8117,81160
8116,81150
8115,81140
8114,81130
8113,81120
8112,81110
8111,81100
8110,81090
8109,81080
8108,81070
8107,81060
8106,81050
8105,81040
8104,81030
8103,81020
8102,81010
8101,81000
8100,80990
8099,80980
8098,80970
8097,80960
8096,80950
8095,80940
8094,80930
8093,80920
8092,80910
8091,80900
8090,80890
8089,80880
8088,80870
8087,80860
8086,80850
8085,80840
8084,80830
8083,80820
8082,80810
8081,80800
8080,80790
8079,80780
8078,80770
8077,80760
8076,80750
8075,80740
8074,80730
8073,80720
8072,80710
8071,80700
8070,80690
8069,80680
8068,80670
8067,80660
8066,80650
8065,80640
8064,80630
8063,80620
8062,80610
8061,80600
8060,80590
8059,80580
8058,80570
8057,80560
8056,80550
8055,80540
8054,80530
8053,80520
8052,80510
8051,80500
8050,80490
8049,80480
8048,80470
8047,80460
8046,80450
8045,80440
8044,80430
8043,80420
8042,80410
8041,80400
8040,80390
8039,80380
8038,80370
8037,80360
8036,80350
8035,80340
8034,80330
8033,80320
8032,80310
8031,80300
8030,80290
8029,80280
8028,80270
8027,80260
8026,80250
8025,80240
8024,80230
8023,80220
8022,80210
8021,80200
8020,80190
8019,80180
8018,80170
8017,80160
8016,80150
8015,80140
8014,80130
8013,80120
8012,80110
8011,80100
8010,80090
8009,80080
8008,80070
8007,80060
8006,80050
8005,80040
8004,80030
8003,80020
8002,80010
8001,80000
8000,79990
7999,79980
7998,79970
7997,79960
7996,79950
7995,79940
7994,79930
7993,79920
7992,79910
7991,79900
7990,79890
7989,79880
7988,79870
7987,79860
7986,79850
7985,79840
7984,79830
7983,79820
7982,79810
7981,79800
7980,79790
7979,79780
7978,79770
7977,79760
7976,79750
7975,79740
7974,79730
7973,79720
7972,79710
7971,79700
7970,79690
7969,79680
7968,79670
7967,79660
7966,79650
7965,79640
7964,79630
7963,79620
7962,79610
7961,79600
7960,79590
7959,79580
7958,79570
7957,79560
7956,79550
7955,79540
7954,79530
7953,79520
7952,79510
7951,79500
7950,79490
7949,79480
7948,79470
7947,79460
7946,79450
7945,79440
7944,79430
7943,79420
7942,79410
7941,79400
7940,79390
7939,79380
7938,79370
7937,79360
7936,79350
7935,79340
7934,79330
7933,79320
7932,79310
7931,79300
7930,79290
7929,79280
7928,79270
7927,79260
7926,79250
7925,79240
7924,79230
7923,79220
7922,79210
7921,79200
7920,79190
7919,79180
7918,79170
7917,79160
7916,79150
7915,79140
7914,79130
7913,79120
7912,79110
7911,79100
7910,79090
7909,79080
7908,79070
7907,79060
7906,79050
7905,79040
7904,79030
7903,79020
7902,79010
7901,79000
7900,78990
7899,78980
7898,78970
7897,78960
7896,78950
7895,78940
7894,78930
7893,78920
7892,78910
7891,78900
7890,78890
7889,78880
7888,78870
7887,78860
7886,78850
7885,78840
7884,78830
7883,78820
7882,78810
7881,78800
7880,78790
7879,78780
7878,78770
7877,78760
7876,78750
7875,78740
7874,78730
7873,78720
7872,78710
7871,78700
7870,78690
7869,78680
7868,78670
7867,78660
7866,78650
7865,78640
7864,78630
7863,78620
7862,78610
7861,78600
7860,78590
7859,78580
7858,78570
7857,78560
7856,78550
7855,78540
7854,78530
7853,78520
7852,78510
7851,78500
7850,78490
7849,78480
7848,78470
7847,78460
7846,78450
7845,78440
7844,78430
7843,78420
7842,78410
7841,78400
7840,78390
7839,78380
7838,78370
7837,78360
7836,78350
7835,78340
7834,78330
7833,78320
7832,78310
7831,78300
7830,78290
7829,78280
7828,78270
7827,78260
7826,78250
7825,78240
7824,78230
7823,78220
7822,78210
7821,78200
7820,78190
7819,78180
7818,78170
7817,78160
7816,78150
7815,78140
7814,78130
7813,78120
7812,78110
7811,78100
7810,78090
7809,78080
7808,78070
7807,78060
7806,78050
7805,78040
7804,78030
7803,78020
7802,78010
7801,78000
7800,77990
7799,77980
7798,77970
7797,77960
7796,77950
7795,77940
7794,77930
7793,77920
7792,77910
7791,77900
7790,77890
7789,77880
7788,77870
7787,77860
7786,77850
7785,77840
7784,77830
7783,77820
7782,77810
7781,77800
7780,77790
7779,77780
7778,77770
7777,77760
7776,77750
7775,77740
7774,77730
7773,77720
7772,77710
7771,77700
7770,77690
7769,77680
7768,77670
7767,77660
7766,77650
7765,77640
7764,77630
7763,77620
7762,77610
7761,77600
7760,77590
7759,77580
7758,77570
7757,77560
7756,77550
7755,77540
7754,77530
7753,77520
7752,77510
7751,77500
7750,77490
7749,77480
7748,77470
7747,77460
7746,77450
7745,77440
7744,77430
7743,77420
7742,77410
7741,77400
7740,77390
7739,77380
7738,77370
7737,77360
7736,77350
7735,77340
7734,77330
7733,77320
7732,77310
7731,77300
7730,77290
7729,77280
7728,77270
7727,77260
7726,77250
7725,77240
7724,77230
7723,77220
7722,77210
7721,77200
7720,77190
7719,77180
7718,77170
7717,77160
7716,77150
7715,77140
7714,77130
7713,77120
7712,77110
7711,77100
7710,77090
7709,77080
7708,77070
7707,77060
7706,77050
7705,77040
7704,77030
7703,77020
7702,77010
7701,77000
7700,76990
7699,76980
7698,76970
7697,76960
7696,76950
7695,76940
7694,76930
7693,76920
7692,76910
7691,76900
7690,76890
7689,76880
7688,76870
7687,76860
7686,76850
7685,76840
7684,76830
7683,76820
7682,76810
7681,76800
7680,76790
7679,76780
7678,76770
7677,76760
7676,76750
7675,76740
7674,76730
7673,76720
7672,76710
7671,76700
7670,76690
7669,76680
7668,76670
7667,76660
7666,76650
7665,76640
7664,76630
7663,76620
7662,76610
7661,76600
7660,76590
7659,76580
7658,76570
7657,76560
7656,76550
7655,76540
7654,76530
7653,76520
7652,76510
7651,76500
7650,76490
7649,76480
7648,76470
7647,76460
7646,76450
7645,76440
7644,76430
7643,76420
7642,76410
7641,76400
7640,76390
7639,76380
7638,76370
7637,76360
7636,76350
7635,76340
7634,76330
7633,76320
7632,76310
7631,76300
7630,76290
7629,76280
7628,76270
7627,76260
7626,76250
7625,76240
7624,76230
7623,76220
7622,76210
7621,76200
7620,76190
7619,76180
7618,76170
7617,76160
7616,76150
7615,76140
7614,76130
7613,76120
7612,76110
7611,76100
7610,76090
7609,76080
7608,76070
7607,76060
7606,76050
7605,76040
7604,76030
7603,76020
7602,76010
7601,76000
7600,75990
7599,75980
7598,75970
7597,75960
7596,75950
7595,75940
7594,75930
7593,75920
7592,75910
7591,75900
7590,75890
7589,75880
7588,75870
7587,75860
7586,75850
7585,75840
7584,75830
7583,75820
7582,75810
7581,75800
7580,75790
7579,75780
7578,75770
7577,75760
7576,75750
7575,75740
7574,75730
7573,75720
7572,75710
7571,75700
7570,75690
7569,75680
7568,75670
7567,75660
7566,75650
7565,75640
7564,75630
7563,75620
7562,75610
7561,75600
7560,75590
7559,75580
7558,75570
7557,75560
7556,75550
7555,75540
7554,75530
7553,75520
7552,75510
7551,75500
7550,75490
7549,75480
7548,75470
7547,75460
7546,75450
7545,75440
7544,75430
7543,75420
7542,75410
7541,75400
7540,75390
7539,75380
7538,75370
7537,75360
7536,75350
7535,75340
7534,75330
7533,75320
7532,75310
7531,75300
7530,75290
7529,75280
7528,75270
7527,75260
7526,75250
7525,75240
7524,75230
7523,75220
7522,75210
7521,75200
7520,75190
7519,75180
7518,75170
7517,75160
7516,75150
7515,75140
7514,75130
7513,75120
7512,75110
7511,75100
7510,75090
7509,75080
7508,75070
7507,75060
7506,75050
7505,75040
7504,75030
7503,75020
7502,75010
7501,75000
7500,74990
7499,74980
7498,74970
7497,74960
7496,74950
7495,74940
7494,74930
7493,74920
7492,74910
7491,74900
7490,74890
7489,74880
7488,74870
7487,74860
7486,74850
7485,74840
7484,74830
7483,74820
7482,74810
7481,74800
7480,74790
7479,74780
7478,74770
7477,74760
7476,74750
7475,74740
7474,74730
7473,74720
7472,74710
7471,74700
7470,74690
7469,74680
7468,74670
